Uid,Sid,Key,Time,Value,UpdateTime
8283944169,764345307,calories,1749469440,"{""time"":1749469440,""calories"":2}",1749494665
8283944169,764345307,calories,1749469380,"{""time"":1749469380,""calories"":1}",1749494665
8283944169,764345307,heart_rate,1749469380,"{""time"":1749469380,""bpm"":99}",1749494665
8283944169,764345307,valid_stand,1749466800,"{""start_time"":1749466800,""end_time"":1749470400}",1749494666
8283944169,764345307,steps,1749451740,"{""time"":1749451740,""steps"":32,""distance"":21,""calories"":0}",1749451711
8283944169,764345307,heart_rate,1749442620,"{""time"":1749442620,""bpm"":79}",1749494665
8283944169,764345307,calories,1749442620,"{""time"":1749442620,""calories"":1}",1749494665
8283944169,764345307,sleep,1749442560,"{""bedtime"":1749414420,""timezone"":8,""sleep_rem_duration"":51,""max_spo2"":99,""min_spo2"":96,""sleep_awake_duration"":0,""min_hr"":47,""avg_hr"":55,""has_rem"":true,""breath_quality"":97,""items"":[{""start_time"":1749414420,""end_time"":1749416220,""state"":3},{""start_time"":1749416220,""end_time"":1749418020,""state"":2},{""start_time"":1749418020,""end_time"":1749419760,""state"":4},{""state"":3,""start_time"":1749419760,""end_time"":1749420600},{""end_time"":1749422760,""state"":2,""start_time"":1749420600},{""end_time"":1749424080,""state"":3,""start_time"":1749422760},{""end_time"":1749426420,""state"":2,""start_time"":1749424080},{""state"":3,""end_time"":1749426960,""start_time"":1749426420},{""end_time"":1749427620,""state"":2,""start_time"":1749426960},{""end_time"":1749430020,""state"":3,""start_time"":1749427620},{""end_time"":1749431460,""state"":2,""start_time"":1749430020},{""end_time"":1749436920,""state"":3,""start_time"":1749431460},{""state"":4,""start_time"":1749436920,""end_time"":1749438000},{""end_time"":1749439140,""start_time"":1749438000,""state"":2},{""end_time"":1749439860,""state"":3,""start_time"":1749439140},{""start_time"":1749439860,""end_time"":1749440940,""state"":2},{""state"":3,""start_time"":1749440940,""end_time"":1749441720},{""start_time"":1749441720,""end_time"":1749441960,""state"":4},{""end_time"":1749442560,""state"":3,""start_time"":1749441960}],""max_hr"":83,""version"":2,""has_stage"":true,""device_wake_up_time"":1749442560,""avg_spo2"":98,""sleep_light_duration"":241,""duration"":469,""device_bedtime"":1749414420,""awake_count"":0,""sleep_deep_duration"":177,""wake_up_time"":1749442560}",1749448112
8283944169,764345307,stress,1749442320,"{""time"":1749442320,""stress"":16}",1749494665
8283944169,764345307,spo2,1749442020,"{""time"":1749442020,""spo2"":97}",1749494665
8283944169,764345307,heart_rate,1749442020,"{""time"":1749442020,""bpm"":64}",1749494665
8283944169,764345307,stress,1749442020,"{""time"":1749442020,""stress"":16}",1749494665
8283944169,764345307,stress,1749441720,"{""time"":1749441720,""stress"":15}",1749494665
8283944169,764345307,heart_rate,1749441420,"{""time"":1749441420,""bpm"":58}",1749494665
8283944169,764345307,spo2,1749441420,"{""time"":1749441420,""spo2"":97}",1749494665
8283944169,764345307,stress,1749441420,"{""time"":1749441420,""stress"":15}",1749494665
8283944169,764345307,stress,1749441120,"{""time"":1749441120,""stress"":11}",1749494665
8283944169,764345307,spo2,1749440820,"{""time"":1749440820,""spo2"":97}",1749494665
8283944169,764345307,heart_rate,1749440820,"{""time"":1749440820,""bpm"":58}",1749494665
8283944169,764345307,stress,1749440820,"{""time"":1749440820,""stress"":16}",1749494665
8283944169,764345307,stress,1749440520,"{""time"":1749440520,""stress"":16}",1749494665
8283944169,764345307,spo2,1749440220,"{""time"":1749440220,""spo2"":98}",1749494665
8283944169,764345307,heart_rate,1749440220,"{""time"":1749440220,""bpm"":54}",1749494665
8283944169,764345307,stress,1749440220,"{""time"":1749440220,""stress"":16}",1749494665
8283944169,764345307,stress,1749439920,"{""time"":1749439920,""stress"":15}",1749494665
8283944169,764345307,heart_rate,1749439620,"{""time"":1749439620,""bpm"":56}",1749494665
8283944169,764345307,spo2,1749439620,"{""time"":1749439620,""spo2"":99}",1749494665
8283944169,764345307,stress,1749439620,"{""time"":1749439620,""stress"":15}",1749494665
8283944169,764345307,stress,1749439320,"{""time"":1749439320,""stress"":16}",1749494665
8283944169,764345307,spo2,1749439020,"{""time"":1749439020,""spo2"":98}",1749494665
8283944169,764345307,heart_rate,1749439020,"{""time"":1749439020,""bpm"":52}",1749494665
8283944169,764345307,stress,1749439020,"{""time"":1749439020,""stress"":15}",1749494665
8283944169,764345307,stress,1749438720,"{""time"":1749438720,""stress"":18}",1749494665
8283944169,764345307,stress,1749438420,"{""time"":1749438420,""stress"":11}",1749494665
8283944169,764345307,spo2,1749438420,"{""time"":1749438420,""spo2"":98}",1749494665
8283944169,764345307,heart_rate,1749438420,"{""time"":1749438420,""bpm"":50}",1749494665
8283944169,764345307,stress,1749438120,"{""time"":1749438120,""stress"":13}",1749494665
8283944169,764345307,stress,1749437820,"{""time"":1749437820,""stress"":15}",1749494665
8283944169,764345307,heart_rate,1749437820,"{""time"":1749437820,""bpm"":50}",1749494665
8283944169,764345307,spo2,1749437820,"{""time"":1749437820,""spo2"":97}",1749494665
8283944169,764345307,stress,1749437520,"{""time"":1749437520,""stress"":16}",1749494665
8283944169,764345307,stress,1749437220,"{""time"":1749437220,""stress"":16}",1749494665
8283944169,764345307,spo2,1749437220,"{""time"":1749437220,""spo2"":98}",1749494665
8283944169,764345307,heart_rate,1749437220,"{""time"":1749437220,""bpm"":50}",1749494665
8283944169,764345307,stress,1749436920,"{""time"":1749436920,""stress"":16}",1749494665
8283944169,764345307,spo2,1749436620,"{""time"":1749436620,""spo2"":97}",1749494665
8283944169,764345307,stress,1749436620,"{""time"":1749436620,""stress"":16}",1749494665
8283944169,764345307,heart_rate,1749436620,"{""time"":1749436620,""bpm"":50}",1749494665
8283944169,764345307,stress,1749436320,"{""time"":1749436320,""stress"":11}",1749494665
8283944169,764345307,stress,1749436080,"{""time"":1749436080,""stress"":16}",1749494665
8283944169,764345307,spo2,1749436020,"{""time"":1749436020,""spo2"":97}",1749494665
8283944169,764345307,heart_rate,1749436020,"{""time"":1749436020,""bpm"":53}",1749494665
8283944169,764345307,stress,1749435720,"{""time"":1749435720,""stress"":16}",1749494665
8283944169,764345307,spo2,1749435420,"{""time"":1749435420,""spo2"":97}",1749494665
8283944169,764345307,heart_rate,1749435420,"{""time"":1749435420,""bpm"":51}",1749494665
8283944169,764345307,stress,1749435420,"{""time"":1749435420,""stress"":16}",1749494665
8283944169,764345307,stress,1749435120,"{""time"":1749435120,""stress"":16}",1749494665
8283944169,764345307,heart_rate,1749434820,"{""time"":1749434820,""bpm"":53}",1749494665
8283944169,764345307,spo2,1749434820,"{""time"":1749434820,""spo2"":96}",1749494665
8283944169,764345307,stress,1749434820,"{""time"":1749434820,""stress"":17}",1749494665
8283944169,764345307,stress,1749434520,"{""time"":1749434520,""stress"":17}",1749494665
