Uid,Sid,Tag,Key,Time,Value,UpdateTime
8283944169,default,daily_report,steps,1750204800,"{""distance"":397,""calories"":22,""steps"":619,""goal"":6000}",1750246505
8283944169,default,daily_report,spo2,1747267200,"{""min_spo2"":94,""avg_spo2"":96,""lack_spo2_count"":0,""latest_spo2"":{""time"":1747353540,""spo2"":97},""max_spo2"":99}",1747375671
8283944169,default,daily_report,spo2,1747353600,"{""avg_spo2"":96,""min_spo2"":89,""lack_spo2_count"":0,""latest_spo2"":{""spo2"":92,""time"":1747437060},""max_spo2"":99}",1747471386
8283944169,default,daily_report,spo2,1747440000,"{""avg_spo2"":96,""min_spo2"":94,""lack_spo2_count"":0,""max_spo2"":98,""latest_spo2"":{""time"":1747526280,""spo2"":94}}",1747634825
8283944169,default,daily_report,spo2,1747526400,"{""max_spo2"":98,""avg_spo2"":95,""latest_spo2"":{""time"":1747612320,""spo2"":98},""lack_spo2_count"":0,""min_spo2"":93}",1747634862
8283944169,default,daily_report,spo2,1747612800,"{""avg_spo2"":96,""max_spo2"":98,""latest_spo2"":{""spo2"":95,""time"":1747698840},""min_spo2"":88,""lack_spo2_count"":0}",1747721110
8283944169,default,daily_report,spo2,1747699200,"{""avg_spo2"":96,""lack_spo2_count"":0,""max_spo2"":99,""min_spo2"":93,""latest_spo2"":{""spo2"":93,""time"":1747785120}}",1747810934
8283944169,default,daily_report,spo2,1747785600,"{""min_spo2"":93,""latest_spo2"":{""time"":1747871700,""spo2"":96},""max_spo2"":99,""avg_spo2"":96,""lack_spo2_count"":0}",1747982589
8283944169,default,daily_report,spo2,1747872000,"{""lack_spo2_count"":0,""latest_spo2"":{""spo2"":98,""time"":1747958220},""min_spo2"":93,""max_spo2"":99,""avg_spo2"":97}",1747982589
8283944169,default,daily_report,spo2,1747958400,"{""max_spo2"":99,""lack_spo2_count"":0,""avg_spo2"":97,""latest_spo2"":{""spo2"":94,""time"":1748041200},""min_spo2"":94}",1748064257
8283944169,default,daily_report,spo2,1748044800,"{""min_spo2"":94,""avg_spo2"":97,""lack_spo2_count"":0,""latest_spo2"":{""spo2"":98,""time"":1748131080},""max_spo2"":99}",1748281869
8283944169,default,daily_report,spo2,1748131200,"{""min_spo2"":94,""latest_spo2"":{""spo2"":96,""time"":1748217480},""max_spo2"":99,""avg_spo2"":96,""lack_spo2_count"":0}",1748281873
8283944169,default,daily_report,spo2,1748217600,"{""avg_spo2"":96,""latest_spo2"":{""spo2"":96,""time"":1748300040},""lack_spo2_count"":0,""max_spo2"":99,""min_spo2"":89}",1748381281
8283944169,default,daily_report,spo2,1748304000,"{""min_spo2"":94,""latest_spo2"":{""spo2"":94,""time"":1748371380},""max_spo2"":99,""avg_spo2"":95,""lack_spo2_count"":0}",1748384878
8283944169,default,daily_report,spo2,1748390400,"{""max_spo2"":98,""avg_spo2"":95,""latest_spo2"":{""spo2"":97,""time"":1748476680},""lack_spo2_count"":0,""min_spo2"":93}",1748776259
8283944169,default,daily_report,spo2,1748476800,"{""avg_spo2"":96,""lack_spo2_count"":0,""max_spo2"":99,""latest_spo2"":{""time"":1748562540,""spo2"":92},""min_spo2"":92}",1748776263
8283944169,default,daily_report,spo2,1748563200,"{""max_spo2"":99,""latest_spo2"":{""time"":1748648940,""spo2"":96},""avg_spo2"":96,""lack_spo2_count"":0,""min_spo2"":93}",1748776266
8283944169,default,daily_report,spo2,1748649600,"{""avg_spo2"":96,""max_spo2"":99,""lack_spo2_count"":0,""min_spo2"":89,""latest_spo2"":{""time"":1748674740,""spo2"":98}}",1748776272
8283944169,default,daily_report,spo2,1748736000,"{""avg_spo2"":98,""min_spo2"":95,""max_spo2"":98,""latest_spo2"":{""spo2"":97,""time"":1748761920},""lack_spo2_count"":0}",1748834049
8283944169,default,daily_report,spo2,1748822400,"{""avg_spo2"":97,""max_spo2"":99,""min_spo2"":94,""lack_spo2_count"":0,""latest_spo2"":{""spo2"":98,""time"":1748908080}}",1748924526
8283944169,default,daily_report,spo2,1748908800,"{""max_spo2"":99,""lack_spo2_count"":0,""min_spo2"":93,""avg_spo2"":97,""latest_spo2"":{""time"":1748993280,""spo2"":98}}",1749024938
8283944169,default,daily_report,spo2,1748995200,"{""min_spo2"":90,""max_spo2"":99,""lack_spo2_count"":0,""latest_spo2"":{""time"":1749037860,""spo2"":94},""avg_spo2"":96}",1749110380
8283944169,default,daily_report,spo2,1749081600,"{""max_spo2"":98,""latest_spo2"":{""time"":1749167340,""spo2"":98},""lack_spo2_count"":0,""avg_spo2"":96,""min_spo2"":94}",1749182321
8283944169,default,daily_report,spo2,1749168000,"{""lack_spo2_count"":0,""avg_spo2"":97,""max_spo2"":99,""latest_spo2"":{""time"":1749221880,""spo2"":96},""min_spo2"":94}",1749271755
8283944169,default,daily_report,spo2,1749254400,"{""avg_spo2"":97,""latest_spo2"":{""time"":1749340320,""spo2"":97},""min_spo2"":94,""lack_spo2_count"":0,""max_spo2"":99}",1749364824
8283944169,default,daily_report,spo2,1749340800,"{""min_spo2"":94,""max_spo2"":98,""lack_spo2_count"":0,""avg_spo2"":97,""latest_spo2"":{""time"":1749427020,""spo2"":98}}",1749448114
8283944169,default,daily_report,spo2,1749427200,"{""min_spo2"":96,""avg_spo2"":98,""lack_spo2_count"":0,""max_spo2"":99,""latest_spo2"":{""time"":1749449220,""spo2"":97}}",1749494667
8283944169,default,daily_report,spo2,1749686400,"{""latest_spo2"":{""spo2"":97,""time"":1749772500},""min_spo2"":94,""avg_spo2"":97,""max_spo2"":99,""lack_spo2_count"":0}",1750246513
8283944169,default,daily_report,spo2,1749772800,"{""avg_spo2"":96,""max_spo2"":98,""min_spo2"":94,""lack_spo2_count"":0,""latest_spo2"":{""time"":1749858720,""spo2"":97}}",1750246513
8283944169,default,daily_report,spo2,1749859200,"{""avg_spo2"":96,""lack_spo2_count"":0,""latest_spo2"":{""spo2"":94,""time"":1749926220},""max_spo2"":98,""min_spo2"":92}",1750246517
8283944169,default,daily_report,spo2,1749945600,"{""min_spo2"":94,""latest_spo2"":{""spo2"":98,""time"":1750021740},""max_spo2"":99,""avg_spo2"":97,""lack_spo2_count"":0}",1750246521
8283944169,default,daily_report,spo2,1750032000,"{""min_spo2"":93,""avg_spo2"":96,""latest_spo2"":{""time"":1750118280,""spo2"":97},""max_spo2"":98,""lack_spo2_count"":0}",1750246521
8283944169,default,daily_report,spo2,1750118400,"{""lack_spo2_count"":0,""min_spo2"":94,""max_spo2"":98,""avg_spo2"":96,""latest_spo2"":{""time"":1750204500,""spo2"":98}}",1750246526
8283944169,default,daily_report,spo2,1750204800,"{""min_spo2"":94,""lack_spo2_count"":0,""max_spo2"":98,""avg_spo2"":96,""latest_spo2"":{""spo2"":94,""time"":1750247760}}",1750246505
